student_id,age,gender,program,enrollment_year,hours_studied,attendance,previous_grade,current_midterm,sleep_hours,commute_time,num_assignments_late,internet_access,final_grade,passed
S001,21,Male,IDM,2022,12.5,73.7,100,58.8,8,24,0,Yes,67.7,No
S002,24,Male,IDM,2025,11.9,88.1,88.7,58.1,8.7,24,2,Yes,68.6,No
S003,20,Female,ITC,2024,10.9,72.7,68.8,59,8.1,19,0,Yes,69.2,No
S004,21,Male,IRS,2022,13.4,93,55.6,50.1,6.8,5,2,Yes,72.4,Yes
S005,23,Male,IDM,2022,14.6,97.9,78.1,55.2,6.2,30,2,Yes,71.8,Yes
S006,24,Female,ITC,2024,11.4,83,82.2,49.1,7.3,49,0,Yes,71.3,Yes
S007,19,Female,ITC,2022,25,88.3,66.3,58.3,6.6,44,0,Yes,73.1,Yes
S008,20,Male,ITC,2023,5.1,98.3,81.8,47.7,6.3,15,1,Yes,60.3,No
S009,20,Female,ITC,2023,10.1,91,95.1,59.7,6,35,1,Yes,75.1,Yes
S010,21,Female,ITC,2023,13.5,86,80.2,39.7,8.6,50,2,Yes,64,No
S011,25,Female,ITC,2025,11.2,72.2,91,61.7,6.3,15,1,Yes,76.8,Yes
S012,22,Female,IDM,2023,10.2,85.2,59.3,49.3,7.5,54,0,Yes,61,No
S013,24,Female,IDM,2025,4.7,67.7,98.6,43.6,6,32,2,Yes,57.9,No
S014,21,Male,IRS,2022,9.7,76.1,61.1,40.4,6.9,30,1,Yes,54.4,No
S015,19,Female,IRS,2022,14.4,84.3,75.6,55.2,7.3,47,2,Yes,70,Yes
S016,21,Female,IRS,2025,5.7,67.9,86.3,49.7,6,70,2,Yes,54.1,No
S017,24,Male,IDM,2023,8.7,78,62.4,36.6,9.3,31,1,Yes,50.4,No
S018,24,Female,ITC,2025,6.9,94.7,87.6,52.2,5.8,37,0,Yes,74.1,Yes
S019,21,Female,IDM,2024,8.1,77.3,76.8,60.3,7.2,5,1,No,57.3,No
S020,19,Female,ITC,2023,6.8,87.2,76.6,60.4,7.9,41,1,Yes,64.7,No
S021,19,Female,IDM,2023,12.2,88,77.6,71.5,9.5,12,0,No,89.4,Yes
S022,21,Female,IBQ,2022,6.6,76.4,97.3,50.7,5.6,24,1,Yes,74.9,Yes
S023,18,Male,IDM,2025,17.6,87.9,76.4,52.4,7.1,34,2,Yes,71.5,Yes
S024,19,Female,IDM,2023,12.1,93.6,82,54.1,4.6,30,1,Yes,66.4,No
S025,19,Female,IDM,2023,8.9,90.1,91,63.2,8.2,39,2,Yes,70.5,Yes
S026,20,Female,IRS,2024,12.1,77.6,88.5,53.5,7.1,36,2,No,59.4,No
S027,22,Male,ITC,2023,11.4,67.6,83.4,45.7,6.9,66,1,Yes,55.8,No
S028,24,Male,ITC,2023,5,82.2,77.9,53.2,7.8,39,2,Yes,63.1,No
S029,21,Male,ITC,2024,13.8,82.8,67.2,55.2,7.4,13,5,Yes,60.9,No
S030,21,Male,IDM,2022,7.4,80.4,93,61.9,7.4,43,2,No,71.6,Yes
S031,21,Female,IRS,2022,6.1,83.1,60.5,37,5,28,0,Yes,54.8,No
S032,24,Female,IRS,2025,8.7,91.8,72.2,54.4,8,47,1,Yes,63.1,No
S033,19,Female,IDM,2022,5.2,82.7,76.7,36.8,7.1,9,3,Yes,47.7,No
S034,19,Male,IDM,2023,10.2,90.6,61.3,43.8,7.6,24,3,Yes,59.5,No
S035,25,Male,IDM,2022,10.9,90.3,75,60.7,8.4,28,1,Yes,65,No
S036,25,Male,IDM,2024,8.1,84.2,70.9,56.3,6.1,35,2,Yes,70.2,Yes
S037,22,Female,IDM,2022,13.3,80.5,66.3,53.4,5,5,2,Yes,55.7,No
S038,21,Male,IBQ,2025,3.9,80,58.7,35,6.3,57,0,Yes,50.2,No
S039,25,Male,IBQ,2024,3.9,100,94.8,49.1,9.9,56,0,Yes,72,Yes
S040,19,Non-binary,IDM,2022,13.1,69.5,79.7,52,6.4,25,1,Yes,64.7,No
S041,19,Male,IDM,2025,7,75.8,83.7,43.6,5.9,49,1,Yes,62.1,No
S042,23,Female,IDM,2023,13.1,88.6,71.4,53.3,7.7,68,1,Yes,62.3,No
S043,23,Male,IDM,2022,6.2,69.9,85.4,50.3,6.5,49,0,Yes,75.5,Yes
S044,25,Male,ITC,2022,13.9,100,73,54.1,6.1,30,2,Yes,66.5,No
S045,23,Female,ITC,2024,18.6,81.8,96.1,62.5,8.2,34,2,No,81.4,Yes
S046,20,Female,ITC,2022,2.5,84.4,78.4,45,6.5,56,2,Yes,49.2,No
S047,25,Male,ITC,2023,15.2,81.4,71.4,62.7,9.3,44,2,Yes,75.2,Yes
S048,25,Male,ITC,2023,10.3,67.5,84.8,48.5,6.4,9,1,Yes,68.6,No
S049,21,Female,ITC,2025,4.5,71.9,63.7,46.9,8.4,11,2,Yes,52.9,No
S050,20,Female,IRS,2022,13.3,75.1,69.8,62.9,7.1,36,1,Yes,72.1,Yes
S051,23,Female,ITC,2024,12.9,83.2,93.1,56.1,6,37,2,Yes,76.3,Yes
S052,22,Male,IRS,2022,6.7,77.1,65.6,44.7,5,58,1,Yes,62.5,No
S053,21,Male,IDM,2025,7.3,93.6,63.5,51.7,6.7,32,0,Yes,63.9,No
S054,21,Male,IDM,2024,14.3,73.8,55.3,43.1,8,25,2,Yes,52.2,No
S055,23,Male,IDM,2024,6.4,79.9,85.8,54.9,7.8,72,6,Yes,62.8,No
