Date,Current TEMPERATURE,Conditions
08-09-2026,23.9,Warning
08-09-2026,21.5,Optimum
08-09-2026,21.5,Optimum
08-09-2026,22.5,Warning
08-09-2026,23.9,Warning
08-09-2026,23.0,Warning
08-09-2026,23.9,Warning
08-09-2026,23.0,Warning
08-09-2026,22.5,Warning
08-09-2026,22.5,Warning
08-09-2026,22.5,Warning
08-09-2026,23.5,Warning
08-09-2026,23.0,Warning
08-09-2026,23.0,Warning
08-09-2026,23.9,Warning
08-09-2026,23.5,Warning
08-09-2026,22.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,23.0,Warning
08-09-2026,22.5,Warning
08-09-2026,22.5,Warning
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,24.4,Warning
08-09-2026,25.9,Warning
08-09-2026,25.9,Warning
08-09-2026,25.4,Warning
08-09-2026,25.4,Warning
08-09-2026,24.4,Warning
08-09-2026,23.0,Warning
08-09-2026,24.4,Warning
08-09-2026,23.9,Warning
08-09-2026,22.5,Warning
08-09-2026,22.0,Optimum
08-09-2026,24.4,Warning
08-09-2026,23.9,Warning
08-09-2026,22.5,Warning
08-09-2026,25.4,Warning
08-09-2026,24.4,Warning
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,22.0,Optimum
08-09-2026,22.5,Warning
08-09-2026,21.5,Optimum
08-09-2026,23.5,Warning
08-09-2026,24.4,Warning
08-09-2026,24.4,Warning
08-09-2026,23.9,Warning
08-09-2026,23.0,Warning
08-09-2026,23.9,Warning
08-09-2026,24.4,Warning
08-09-2026,23.9,Warning
08-09-2026,21.0,Optimum
08-09-2026,22.0,Optimum
08-09-2026,23.0,Warning
08-09-2026,23.9,Warning
08-09-2026,22.5,Warning
08-09-2026,22.0,Optimum
08-09-2026,22.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,23.9,Warning
08-09-2026,23.5,Warning
08-09-2026,22.0,Optimum
08-09-2026,23.0,Warning
08-09-2026,20.5,Optimum
08-09-2026,24.4,Warning
08-09-2026,23.9,Warning
08-09-2026,23.9,Warning
08-09-2026,23.9,Warning
08-09-2026,24.4,Warning
08-09-2026,20.5,Optimum
08-09-2026,23.0,Warning
08-09-2026,22.5,Warning
08-09-2026,23.0,Warning
08-09-2026,23.0,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,22.5,Warning
08-09-2026,23.9,Warning
08-09-2026,23.5,Warning
08-09-2026,22.5,Warning
08-09-2026,22.5,Warning
08-09-2026,25.4,Warning
08-09-2026,23.5,Warning
08-09-2026,23.0,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,21.5,Optimum
08-09-2026,23.0,Warning
08-09-2026,22.5,Warning
08-09-2026,23.0,Warning
08-09-2026,23.0,Warning
08-09-2026,23.9,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,24.4,Warning
08-09-2026,20.5,Optimum
08-09-2026,22.0,Optimum
08-09-2026,22.0,Optimum
08-09-2026,20.5,Optimum
08-09-2026,20.5,Optimum
08-09-2026,23.0,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,23.9,Warning
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,22.0,Optimum
08-09-2026,24.4,Warning
08-09-2026,23.9,Warning
08-09-2026,24.4,Warning
08-09-2026,21.5,Optimum
08-09-2026,23.9,Warning
08-09-2026,22.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,23.9,Warning
08-09-2026,20.5,Optimum
08-09-2026,23.5,Warning
08-09-2026,22.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,23.9,Warning
08-09-2026,23.0,Warning
08-09-2026,23.5,Warning
08-09-2026,22.5,Warning
08-09-2026,23.9,Warning
08-09-2026,22.0,Optimum
08-09-2026,22.0,Optimum
08-09-2026,22.5,Warning
08-09-2026,23.9,Warning
08-09-2026,23.9,Warning
08-09-2026,21.0,Optimum
08-09-2026,20.5,Optimum
08-09-2026,21.5,Optimum
08-09-2026,22.5,Warning
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,23.5,Warning
08-09-2026,22.0,Optimum
08-09-2026,21.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,22.5,Warning
08-09-2026,20.5,Optimum
08-09-2026,22.5,Warning
08-09-2026,20.5,Optimum
08-09-2026,23.5,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,20.5,Optimum
08-09-2026,22.5,Warning
08-09-2026,23.9,Warning
08-09-2026,22.0,Optimum
08-09-2026,23.0,Warning
08-09-2026,24.4,Warning
08-09-2026,23.0,Warning
08-09-2026,22.5,Warning
08-09-2026,23.0,Warning
08-09-2026,23.5,Warning
08-09-2026,21.0,Optimum
08-09-2026,20.5,Optimum
08-09-2026,23.9,Warning
08-09-2026,23.0,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,23.0,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,23.0,Warning
08-09-2026,21.0,Optimum
08-09-2026,20.5,Optimum
08-09-2026,23.9,Warning
08-09-2026,20.5,Optimum
08-09-2026,23.5,Warning
08-09-2026,21.0,Optimum
08-09-2026,24.4,Warning
08-09-2026,21.0,Optimum
08-09-2026,22.5,Warning
08-09-2026,23.5,Warning
08-09-2026,24.4,Warning
08-09-2026,23.0,Warning
08-09-2026,20.5,Optimum
08-09-2026,23.5,Warning
08-09-2026,23.5,Warning
08-09-2026,22.5,Warning
08-09-2026,23.9,Warning
08-09-2026,23.5,Warning
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,23.0,Warning
08-09-2026,22.5,Warning
08-09-2026,23.5,Warning
08-09-2026,20.5,Optimum
08-09-2026,20.5,Optimum
08-09-2026,23.0,Warning
08-09-2026,23.5,Warning
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,22.5,Warning
08-09-2026,23.5,Warning
08-09-2026,20.5,Optimum
08-09-2026,23.5,Warning
08-09-2026,24.4,Warning
08-09-2026,23.0,Warning
08-09-2026,24.4,Warning
08-09-2026,23.5,Warning
08-09-2026,20.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,20.5,Optimum
08-09-2026,23.5,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,22.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,23.9,Warning
08-09-2026,21.0,Optimum
08-09-2026,23.9,Warning
08-09-2026,20.0,Optimum
08-09-2026,22.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,23.9,Warning
08-09-2026,22.0,Optimum
08-09-2026,23.5,Warning
08-09-2026,22.5,Warning
08-09-2026,23.5,Warning
08-09-2026,22.5,Warning
08-09-2026,23.5,Warning
08-09-2026,23.5,Warning
08-09-2026,22.0,Optimum
08-09-2026,23.0,Warning
08-09-2026,23.5,Warning
08-09-2026,21.0,Optimum
08-09-2026,21.0,Optimum
08-09-2026,22.0,Optimum
